uid,d4_4_o_3,d8_1_1_o_1_3,d8_1_1_o_2_3,d8_1_1_o_3_3,d8_1_1_o_4_3,d8_1_1_o_5_3,d4_4_o_4,d8_1_1_o_1_4,d8_1_1_o_2_4,d8_1_1_o_3_4,d8_1_1_o_4_4,d8_1_1_o_5_4,d4_4_o_5,d8_1_1_o_1_5,d8_1_1_o_2_5,d8_1_1_o_3_5,d8_1_1_o_4_5,d8_1_1_o_5_5,d4_4_o_6,d8_1_1_o_1_6,d8_1_1_o_2_6,d8_1_1_o_3_6,d8_1_1_o_4_6,d8_1_1_o_5_6,d4_4_o_7,d8_1_1_o_1_7,d8_1_1_o_2_7,d8_1_1_o_3_7,d8_1_1_o_4_7,d8_1_1_o_5_7,d4_4_o_8,d8_1_1_o_1_8,d8_1_1_o_2_8,d8_1_1_o_3_8,d8_1_1_o_4_8,d8_1_1_o_5_8,d4_4_o_9,d8_1_1_o_1_9,d8_1_1_o_2_9,d8_1_1_o_3_9,d8_1_1_o_4_9,d8_1_1_o_5_9,d4_4_o_10,d8_1_1_o_1_10,d8_1_1_o_2_10,d8_1_1_o_3_10,d8_1_1_o_4_10,d8_1_1_o_5_10,d4_4_o_11,d8_1_1_o_1_11,d8_1_1_o_2_11,d8_1_1_o_3_11,d8_1_1_o_4_11,d8_1_1_o_5_11,d4_4_o_12,d8_1_1_o_1_12,d8_1_1_o_2_12,d8_1_1_o_3_12,d8_1_1_o_4_12,d8_1_1_o_5_12,d4_4_o_13,d8_1_1_o_1_13,d8_1_1_o_2_13,d8_1_1_o_3_13,d8_1_1_o_4_13,d8_1_1_o_5_13,d4_4_o_14,d8_1_1_o_1_14,d8_1_1_o_2_14,d8_1_1_o_3_14,d8_1_1_o_4_14,d8_1_1_o_5_14,d4_4_o_15,d8_1_1_o_1_15,d8_1_1_o_2_15,d8_1_1_o_3_15,d8_1_1_o_4_15,d8_1_1_o_5_15,d4_4_o_16,d8_1_1_o_1_16,d8_1_1_o_2_16,d8_1_1_o_3_16,d8_1_1_o_4_16,d8_1_1_o_5_16,d4_4_o_17,d8_1_1_o_1_17,d8_1_1_o_2_17,d8_1_1_o_3_17,d8_1_1_o_4_17,d8_1_1_o_5_17
B01V01F0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V02F0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V02F0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V02F0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V02F0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V02F0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
